Date,Time,SO2,NO,NO2,NOX,CO,O3,PM2.5,PM10,Temperature,RH,Solar_Rad,AQI,AQI_severity,Location
2024-01-01,01:00,68.3,95.57,391.24,274.07,9.01,0.05,13.17,132.36,20.36,61.83,140.61,156.0,Unhealthy,Sylhet
2024-01-01,01:00,133.99,175.15,124.3,399.26,1.12,0.09,72.63,168.17,24.28,89.34,695.33,161.0,Unhealthy,Mymensingh
2024-01-01,01:00,286.95,81.38,301.95,278.93,1.53,0.05,33.4,261.43,20.54,77.89,202.31,193.0,Unhealthy,Rangpur
2024-01-01,02:00,41.52,192.65,386.93,196.44,21.53,0.15,133.36,373.79,17.48,75.36,874.12,247.0,Very Unhealthy,Dhaka
2024-01-01,02:00,90.24,155.61,280.26,391.39,7.53,0.05,175.92,26.46,33.02,74.5,600.94,226.0,Very Unhealthy,Chattogram
2024-01-01,02:00,215.12,157.17,182.97,266.12,7.45,0.05,136.23,110.09,15.21,85.18,451.18,193.0,Unhealthy,Khulna
2024-01-01,02:00,261.31,138.52,328.89,253.15,17.52,0.1,247.38,140.05,11.13,82.76,104.41,297.0,Very Unhealthy,Rajshahi
2024-01-01,02:00,133.26,94.88,105.61,217.93,17.57,0.05,146.85,339.2,32.25,53.11,405.56,215.0,Very Unhealthy,Barisal
2024-01-01,02:00,73.54,184.62,36.97,69.71,22.39,0.02,197.94,38.0,16.02,80.53,399.07,248.0,Very Unhealthy,Sylhet
2024-01-01,02:00,200.16,174.33,262.77,159.89,26.65,0.04,270.2,324.33,11.75,78.35,320.64,317.0,Hazardous,Mymensingh
2024-01-01,02:00,286.21,64.2,399.16,292.31,4.32,0.02,256.72,73.02,31.24,89.72,677.91,306.0,Hazardous,Rangpur
2024-01-01,03:00,131.98,24.49,355.59,237.63,18.94,0.13,162.01,79.6,27.14,61.75,53.43,226.0,Very Unhealthy,Dhaka
2024-01-01,03:00,253.17,27.91,48.45,115.04,4.46,0.12,189.95,262.44,19.2,59.14,404.65,240.0,Very Unhealthy,Chattogram
2024-01-01,03:00,66.55,72.98,215.24,297.11,21.65,0.12,188.94,28.07,21.25,63.72,115.1,242.0,Very Unhealthy,Khulna
2024-01-01,03:00,181.46,54.45,232.91,126.69,18.83,0.15,80.54,171.12,15.99,57.29,389.29,247.0,Very Unhealthy,Rajshahi
2024-01-01,03:00,171.15,167.33,198.22,215.49,14.8,0.04,158.08,277.23,23.99,93.9,952.58,209.0,Very Unhealthy,Barisal
2024-01-01,03:00,9.96,80.51,257.4,164.45,5.59,0.04,248.81,43.68,15.46,58.42,371.61,298.0,Very Unhealthy,Sylhet
2024-01-01,03:00,61.77,77.53,194.91,171.33,26.8,0.05,289.13,232.32,32.36,70.25,229.21,332.0,Hazardous,Mymensingh
2024-01-01,03:00,291.22,161.54,56.94,201.34,22.91,0.01,262.07,204.71,23.47,82.03,769.01,310.0,Hazardous,Rangpur
2024-01-01,04:00,127.71,153.42,368.36,143.59,8.41,0.08,195.96,396.62,22.93,81.21,550.87,261.0,Very Unhealthy,Dhaka
2024-01-01,04:00,279.34,3.64,178.89,242.02,18.28,0.08,117.64,266.76,13.32,74.96,678.82,219.0,Very Unhealthy,Chattogram
2024-01-01,04:00,26.58,109.98,393.95,270.68,15.38,0.06,162.54,357.28,18.85,82.27,490.78,213.0,Very Unhealthy,Khulna
2024-01-01,04:00,172.18,38.55,171.33,388.11,28.68,0.07,189.48,33.71,31.45,58.53,213.53,289.0,Very Unhealthy,Rajshahi
2024-01-01,04:00,272.08,57.53,197.38,173.19,23.21,0.02,38.82,165.23,33.97,86.68,976.84,252.0,Very Unhealthy,Barisal
2024-01-01,04:00,285.05,27.71,266.64,351.65,10.04,0.1,251.07,351.11,14.86,52.52,509.24,301.0,Hazardous,Sylhet
2024-01-01,04:00,100.28,12.49,368.86,279.58,5.16,0.14,252.9,219.88,21.72,56.05,969.16,303.0,Hazardous,Mymensingh
2024-01-01,04:00,199.39,2.72,93.6,189.85,11.05,0.13,213.45,61.39,33.01,50.91,322.63,263.0,Very Unhealthy,Rangpur
2024-01-01,05:00,135.15,107.01,398.32,264.88,13.52,0.04,267.23,251.68,28.74,79.63,378.58,314.0,Hazardous,Dhaka
2024-01-01,05:00,250.3,14.5,64.79,151.6,12.08,0.04,159.2,175.75,21.3,77.71,355.96,210.0,Very Unhealthy,Chattogram
2024-01-01,05:00,24.76,28.89,39.62,167.38,19.79,0.04,31.77,69.47,24.87,59.98,969.57,230.0,Very Unhealthy,Khulna
2024-01-01,05:00,179.99,17.43,129.58,255.16,29.93,0.06,85.94,232.72,25.95,78.13,689.51,297.0,Very Unhealthy,Rajshahi
2024-01-01,05:00,102.35,40.66,69.34,191.05,25.58,0.15,100.51,52.66,25.81,82.93,84.04,268.0,Very Unhealthy,Barisal
2024-01-01,05:00,211.02,25.74,389.05,397.17,13.38,0.08,210.95,163.29,30.68,64.01,256.41,261.0,Very Unhealthy,Sylhet
2024-01-01,05:00,230.47,198.81,208.37,206.35,0.81,0.09,264.1,325.25,26.98,72.92,215.93,312.0,Hazardous,Mymensingh
2024-01-01,05:00,243.41,28.15,259.56,51.88,15.43,0.12,71.16,109.15,17.22,52.47,576.59,216.0,Very Unhealthy,Rangpur
2024-01-01,06:00,103.0,178.24,118.13,63.01,26.49,0.06,294.33,222.05,15.2,67.96,985.49,336.0,Hazardous,Dhaka
2024-01-01,06:00,247.32,41.21,240.02,79.59,8.31,0.14,164.41,209.95,20.5,66.21,585.75,237.0,Very Unhealthy,Chattogram
2024-01-01,06:00,271.59,149.31,376.88,221.7,15.55,0.03,173.27,268.5,27.37,68.92,629.78,224.0,Very Unhealthy,Khulna
2024-01-01,06:00,255.01,89.05,215.42,397.23,8.77,0.13,213.88,342.42,14.59,66.3,228.59,264.0,Very Unhealthy,Rajshahi
2024-01-01,06:00,260.28,123.72,351.85,380.61,20.16,0.12,140.9,238.35,28.75,74.43,715.15,232.0,Very Unhealthy,Barisal
2024-01-01,06:00,165.68,69.49,325.08,208.32,15.45,0.07,143.89,71.58,23.5,86.91,882.55,197.0,Unhealthy,Sylhet
2024-01-01,06:00,236.02,173.8,253.27,361.03,10.18,0.01,155.88,108.23,32.95,60.82,416.27,206.0,Very Unhealthy,Mymensingh
2024-01-01,06:00,22.71,122.81,395.03,310.06,22.32,0.13,31.69,101.4,23.04,86.98,135.17,246.0,Very Unhealthy,Rangpur
2024-01-01,07:00,116.32,72.05,291.53,342.79,1.44,0.13,181.99,154.55,28.88,89.86,801.2,232.0,Very Unhealthy,Dhaka
2024-01-01,07:00,297.95,161.51,183.93,370.57,6.72,0.02,23.16,219.53,23.07,83.46,913.98,197.0,Unhealthy,Chattogram
2024-01-01,07:00,190.8,58.35,218.89,41.31,8.95,0.02,138.91,184.5,16.43,83.68,211.05,194.0,Unhealthy,Khulna
2024-01-01,07:00,197.19,155.67,201.22,42.86,25.62,0.13,31.45,299.77,19.58,87.71,301.89,268.0,Very Unhealthy,Rajshahi
2024-01-01,07:00,49.06,184.16,135.65,35.2,22.71,0.03,282.92,302.46,18.94,55.35,124.82,327.0,Hazardous,Barisal
2024-01-01,07:00,108.18,159.38,290.61,86.68,15.57,0.03,217.33,311.12,33.61,72.9,869.59,267.0,Very Unhealthy,Sylhet
2024-01-01,07:00,86.58,38.01,53.04,161.44,21.76,0.08,31.46,273.81,32.8,69.94,969.8,243.0,Very Unhealthy,Mymensingh
2024-01-01,07:00,18.32,120.95,76.68,88.0,16.94,0.03,110.82,309.69,21.8,87.14,235.61,211.0,Very Unhealthy,Rangpur
2024-01-01,08:00,140.9,7.43,146.65,375.46,28.18,0.13,130.84,215.72,24.51,53.63,246.31,285.0,Very Unhealthy,Dhaka
2024-01-01,08:00,220.45,119.55,80.05,137.69,10.74,0.08,75.78,100.76,34.75,54.5,928.96,165.0,Unhealthy,Chattogram
2024-01-01,08:00,26.52,88.14,178.43,210.57,4.09,0.12,127.93,248.51,20.25,80.34,935.45,216.0,Very Unhealthy,Khulna
2024-01-01,08:00,104.49,48.49,264.39,318.96,3.52,0.06,226.76,76.4,22.44,76.97,95.55,277.0,Very Unhealthy,Rajshahi
2024-01-01,08:00,263.36,119.13,367.92,204.68,25.99,0.02,272.96,295.8,22.6,82.96,226.45,319.0,Hazardous,Barisal
2024-01-01,08:00,59.95,134.96,23.38,159.4,23.17,0.05,188.03,354.86,26.18,83.82,855.51,252.0,Very Unhealthy,Sylhet
2024-01-01,08:00,173.72,163.67,267.37,144.32,14.78,0.11,269.92,399.59,27.43,94.21,908.61,316.0,Hazardous,Mymensingh
2024-01-01,08:00,270.5,105.06,212.33,291.63,2.61,0.03,115.53,267.45,29.12,65.45,748.09,186.0,Unhealthy,Rangpur
2024-01-01,09:00,219.91,24.87,239.75,232.67,5.64,0.03,28.57,329.42,10.51,73.16,333.17,188.0,Unhealthy,Dhaka
2024-01-01,09:00,191.68,125.58,389.24,255.77,3.3,0.14,274.7,79.67,34.46,90.05,363.07,320.0,Hazardous,Chattogram
2024-01-01,09:00,193.16,70.7,245.98,234.9,0.88,0.04,244.92,136.56,18.28,61.7,547.83,295.0,Very Unhealthy,Khulna
2024-01-01,09:00,190.73,40.14,50.0,58.25,1.26,0.1,18.37,321.82,32.87,76.61,914.64,187.0,Unhealthy,Rajshahi
2024-01-01,09:00,53.07,189.19,81.35,273.51,23.88,0.13,260.67,354.98,33.42,78.28,859.3,309.0,Hazardous,Barisal
2024-01-01,09:00,59.32,108.13,324.18,352.59,28.71,0.06,295.08,305.73,26.61,61.85,804.21,336.0,Hazardous,Sylhet
2024-01-01,09:00,181.05,101.38,13.04,346.47,12.73,0.08,77.66,154.63,25.87,86.99,973.4,162.0,Unhealthy,Mymensingh
2024-01-01,09:00,11.89,112.46,27.77,42.96,11.38,0.08,143.49,332.42,31.38,85.26,146.32,196.0,Unhealthy,Rangpur
2024-01-01,10:00,52.08,141.03,63.97,81.88,29.02,0.02,126.24,186.18,11.97,73.97,195.79,291.0,Very Unhealthy,Dhaka
2024-01-01,10:00,177.37,137.48,364.71,339.71,7.42,0.07,38.87,163.71,29.24,68.09,576.18,152.0,Unhealthy,Chattogram
2024-01-01,10:00,19.16,179.9,154.65,295.73,10.34,0.13,20.17,154.94,14.35,59.91,880.13,226.0,Very Unhealthy,Khulna
2024-01-01,10:00,161.31,145.91,180.09,155.18,16.62,0.13,264.29,385.82,10.15,57.92,481.63,312.0,Hazardous,Rajshahi
2024-01-01,10:00,11.02,144.3,343.66,80.76,22.29,0.01,153.69,394.41,32.75,82.23,134.43,258.0,Very Unhealthy,Barisal
2024-01-01,10:00,157.56,159.87,190.26,274.38,11.94,0.07,276.94,371.4,31.22,71.98,692.8,322.0,Hazardous,Sylhet
2024-01-01,10:00,114.72,188.79,154.29,255.62,1.19,0.13,132.7,91.14,19.75,64.73,824.17,226.0,Very Unhealthy,Mymensingh
2024-01-01,10:00,9.75,15.88,304.59,85.27,12.35,0.02,199.98,48.82,15.71,85.65,585.89,250.0,Very Unhealthy,Rangpur
2024-01-01,11:00,284.17,91.58,302.11,143.1,3.87,0.14,82.62,166.44,27.53,67.79,301.85,237.0,Very Unhealthy,Dhaka
2024-01-01,11:00,8.45,8.73,257.81,95.94,3.94,0.14,231.69,67.44,20.77,67.21,585.6,281.0,Very Unhealthy,Chattogram
2024-01-01,11:00,135.16,198.43,188.16,353.88,15.38,0.05,239.13,107.9,14.17,60.41,751.96,289.0,Very Unhealthy,Khulna
2024-01-01,11:00,117.03,5.91,18.86,104.33,25.65,0.13,55.2,300.3,29.07,57.43,134.09,268.0,Very Unhealthy,Rajshahi
2024-01-01,11:00,133.42,112.54,244.62,140.36,14.85,0.12,21.91,206.13,18.87,79.01,160.32,216.0,Very Unhealthy,Barisal
2024-01-01,11:00,194.9,48.97,350.48,177.66,12.29,0.13,89.2,190.48,11.06,77.41,905.53,226.0,Very Unhealthy,Sylhet
2024-01-01,11:00,160.62,81.47,312.17,27.49,25.71,0.05,104.64,39.84,24.53,90.43,421.37,269.0,Very Unhealthy,Mymensingh
2024-01-01,11:00,267.37,164.35,121.61,184.85,13.55,0.04,288.22,279.24,26.0,67.54,730.6,331.0,Hazardous,Rangpur
2024-01-01,12:00,293.67,163.69,95.94,186.21,21.74,0.1,267.46,359.67,22.88,61.59,87.45,315.0,Hazardous,Dhaka
2024-01-01,12:00,184.26,10.46,109.08,331.24,26.96,0.05,227.98,291.8,21.71,51.5,671.08,278.0,Very Unhealthy,Chattogram
2024-01-01,12:00,41.99,5.08,371.65,391.25,14.17,0.07,87.51,235.9,10.16,87.13,757.13,179.0,Unhealthy,Khulna
2024-01-01,12:00,118.7,3.58,189.64,188.4,1.01,0.07,143.5,90.34,12.48,88.59,464.12,196.0,Unhealthy,Rajshahi
2024-01-01,12:00,61.96,68.27,124.67,23.14,26.96,0.11,214.42,29.47,26.96,87.35,767.16,277.0,Very Unhealthy,Barisal
2024-01-01,12:00,121.79,29.18,282.08,176.91,15.81,0.12,272.4,140.82,16.75,58.22,842.57,318.0,Hazardous,Sylhet
2024-01-01,12:00,123.84,169.93,15.24,97.01,7.39,0.05,37.59,262.09,11.64,69.18,652.68,155.0,Unhealthy,Mymensingh
2024-01-01,12:00,171.23,87.19,75.76,319.33,3.45,0.09,186.93,65.04,20.89,59.19,847.0,237.0,Very Unhealthy,Rangpur
2024-01-01,13:00,194.81,172.58,356.59,373.19,11.17,0.08,271.05,308.52,16.55,72.48,984.3,317.0,Hazardous,Dhaka
2024-01-01,13:00,24.03,87.96,361.67,116.74,18.22,0.12,148.37,234.31,23.8,73.33,215.82,219.0,Very Unhealthy,Chattogram
2024-01-01,13:00,71.67,79.28,30.07,80.13,12.55,0.12,10.99,208.53,22.26,69.56,244.9,216.0,Very Unhealthy,Khulna
2024-01-01,13:00,174.09,98.63,225.29,375.1,24.01,0.06,172.34,101.69,25.99,76.08,898.69,258.0,Very Unhealthy,Rajshahi
2024-01-01,13:00,113.59,110.12,66.08,288.2,0.86,0.14,78.16,387.76,21.42,76.76,318.74,248.0,Very Unhealthy,Barisal
2024-01-01,13:00,95.74,32.49,349.67,186.02,2.72,0.09,261.46,307.32,10.2,83.13,815.57,310.0,Hazardous,Sylhet
2024-01-01,13:00,160.13,40.62,140.53,274.41,28.31,0.15,146.76,66.21,10.06,59.49,600.57,286.0,Very Unhealthy,Mymensingh
2024-01-01,13:00,101.65,6.07,123.31,158.48,21.32,0.1,175.53,235.18,14.39,81.58,713.27,240.0,Very Unhealthy,Rangpur
2024-01-01,14:00,75.21,90.12,121.37,186.74,25.85,0.04,21.46,242.45,26.28,94.58,56.45,270.0,Very Unhealthy,Dhaka
2024-01-01,14:00,257.09,149.46,242.72,236.5,1.58,0.14,176.11,56.94,16.95,93.01,331.79,237.0,Very Unhealthy,Chattogram
2024-01-01,14:00,222.58,183.77,135.87,103.37,24.15,0.08,249.14,36.96,10.18,64.7,693.67,299.0,Very Unhealthy,Khulna
2024-01-01,14:00,227.35,163.44,55.76,257.8,8.02,0.08,44.93,97.55,15.77,67.01,200.02,168.0,Unhealthy,Rajshahi
2024-01-01,14:00,260.77,98.53,136.2,131.32,22.52,0.04,220.21,241.8,26.17,72.76,438.1,270.0,Very Unhealthy,Barisal
2024-01-01,14:00,63.92,88.76,384.49,73.34,16.18,0.06,107.92,347.38,20.54,59.22,171.95,206.0,Very Unhealthy,Sylhet
2024-01-01,14:00,251.91,19.52,150.24,85.55,25.19,0.05,261.8,236.48,18.21,84.91,661.12,310.0,Hazardous,Mymensingh
2024-01-01,14:00,37.31,167.89,273.48,55.76,23.82,0.02,168.4,273.4,15.72,63.61,302.99,256.0,Very Unhealthy,Rangpur
2024-01-01,15:00,282.6,199.94,27.6,332.99,15.94,0.14,250.71,253.25,14.98,76.32,281.72,301.0,Hazardous,Chattogram
2024-01-01,15:00,192.86,91.35,118.01,276.01,9.53,0.07,153.04,202.38,12.49,75.1,814.88,204.0,Very Unhealthy,Chattogram
2024-01-01,15:00,102.98,49.68,265.08,347.95,7.25,0.09,66.36,39.81,26.09,87.89,565.25,161.0,Unhealthy,Khulna
2024-01-01,15:00,277.88,43.6,294.96,77.09,20.11,0.04,275.53,117.62,23.61,63.02,88.14,321.0,Hazardous,Rajshahi
2024-01-01,15:00,88.35,104.9,147.83,350.69,10.47,0.11,115.71,278.65,25.15,92.25,177.9,205.0,Very Unhealthy,Barisal
2024-01-01,15:00,20.85,141.49,279.91,335.07,11.17,0.05,255.1,91.74,14.22,74.95,275.44,305.0,Hazardous,Sylhet
2024-01-01,15:00,124.07,163.85,235.97,193.03,5.18,0.13,196.76,139.17,31.19,70.96,142.4,247.0,Very Unhealthy,Mymensingh
2024-01-01,15:00,170.93,56.64,188.95,178.37,10.51,0.06,157.39,94.99,32.51,74.01,254.84,208.0,Very Unhealthy,Rangpur
2024-01-01,16:00,19.16,120.18,90.1,109.86,20.46,0.08,221.69,84.06,20.09,63.03,538.56,272.0,Very Unhealthy,Dhaka
2024-01-01,16:00,194.32,189.68,31.59,43.32,28.57,0.03,31.22,386.05,16.51,58.83,371.05,288.0,Very Unhealthy,Chattogram
2024-01-01,16:00,78.91,85.11,147.33,169.01,19.12,0.08,288.51,384.42,14.98,76.13,929.64,331.0,Hazardous,Khulna
2024-01-01,16:00,26.55,198.01,128.06,154.36,20.62,0.08,290.94,270.82,26.01,76.9,952.14,333.0,Hazardous,Rajshahi
2024-01-01,16:00,171.45,153.79,46.92,314.93,21.42,0.08,215.46,88.07,11.66,76.51,705.93,265.0,Very Unhealthy,Barisal
2024-01-01,16:00,250.75,71.94,345.34,63.36,10.01,0.06,158.82,376.32,23.17,81.57,684.52,232.0,Very Unhealthy,Sylhet
2024-01-01,16:00,222.52,97.69,129.3,229.35,18.45,0.13,218.45,192.45,11.06,85.98,850.07,268.0,Very Unhealthy,Mymensingh
2024-01-01,16:00,233.96,13.43,163.0,155.83,13.4,0.08,122.1,364.38,33.37,83.92,255.83,214.0,Very Unhealthy,Rangpur
2024-01-01,17:00,275.9,76.89,223.52,310.86,11.25,0.1,156.7,337.77,23.84,92.72,199.48,207.0,Very Unhealthy,Dhaka
2024-01-01,17:00,85.97,25.59,116.8,321.77,5.45,0.04,43.42,102.4,24.83,83.6,504.42,121.0,Unhealthy for Sensitive Groups,Chattogram
2024-01-01,17:00,58.5,90.5,275.6,136.11,6.7,0.12,185.32,63.77,12.43,60.15,682.63,236.0,Very Unhealthy,Khulna
2024-01-01,17:00,87.67,66.56,85.74,205.56,11.75,0.14,21.87,213.09,11.59,66.95,483.47,237.0,Very Unhealthy,Rajshahi
2024-01-01,17:00,94.09,83.08,345.98,166.14,19.88,0.07,54.03,399.61,13.93,91.38,168.81,265.0,Very Unhealthy,Barisal
2024-01-01,17:00,52.39,143.42,236.06,293.45,9.97,0.02,73.32,22.26,18.84,92.23,236.31,160.0,Unhealthy,Sylhet
2024-01-01,17:00,38.4,164.91,327.15,39.55,26.92,0.09,17.02,228.29,17.58,81.72,172.45,277.0,Very Unhealthy,Mymensingh
2024-01-01,17:00,204.02,78.23,170.43,96.8,18.27,0.07,227.93,257.61,25.89,56.17,575.39,278.0,Very Unhealthy,Rangpur
2024-01-01,18:00,81.33,138.51,22.29,322.18,1.39,0.12,95.25,130.45,33.73,76.6,644.58,216.0,Very Unhealthy,Dhaka
2024-01-01,18:00,194.58,38.58,127.3,331.5,28.39,0.11,156.68,303.22,22.73,71.4,211.03,287.0,Very Unhealthy,Chattogram
2024-01-01,18:00,36.82,74.52,46.86,216.4,27.6,0.01,150.99,275.66,24.76,91.21,329.03,281.0,Very Unhealthy,Khulna
2024-01-01,18:00,46.2,44.4,187.6,46.33,27.0,0.08,146.21,111.48,24.23,52.22,243.38,277.0,Very Unhealthy,Rajshahi
2024-01-01,18:00,49.66,46.69,220.93,100.47,2.92,0.02,155.98,83.59,19.0,77.89,242.87,206.0,Very Unhealthy,Barisal
2024-01-01,18:00,68.19,108.39,293.33,282.23,15.81,0.04,246.36,105.57,28.18,66.48,622.44,296.0,Very Unhealthy,Sylhet
2024-01-01,18:00,238.57,118.86,35.24,169.98,13.04,0.14,273.02,325.9,28.6,80.28,961.51,319.0,Hazardous,Mymensingh
2024-01-01,18:00,268.29,194.44,287.46,40.94,26.72,0.02,57.26,274.14,31.85,62.49,432.75,276.0,Very Unhealthy,Rangpur
2024-01-01,19:00,219.21,131.99,150.11,311.11,21.01,0.02,170.81,194.09,23.47,56.78,299.74,238.0,Very Unhealthy,Dhaka
2024-01-01,19:00,283.88,13.08,238.32,83.71,15.34,0.11,30.72,129.02,31.24,70.66,604.0,205.0,Very Unhealthy,Chattogram
2024-01-01,19:00,155.79,64.8,171.49,141.34,14.07,0.11,286.97,380.74,14.5,75.05,962.55,330.0,Hazardous,Khulna
2024-01-01,19:00,236.47,174.55,325.21,30.26,14.31,0.03,114.73,28.01,17.07,51.81,893.4,182.0,Unhealthy,Rajshahi
2024-01-01,19:00,206.36,26.26,241.43,70.55,19.02,0.02,126.72,163.72,29.06,87.97,372.76,224.0,Very Unhealthy,Barisal
2024-01-01,19:00,203.95,94.03,292.4,385.84,12.91,0.02,126.22,87.63,14.9,62.24,94.33,188.0,Unhealthy,Sylhet
2024-01-01,19:00,269.6,22.73,50.31,344.69,9.9,0.13,29.01,100.8,21.55,61.87,99.23,226.0,Very Unhealthy,Mymensingh
2024-01-01,19:00,177.16,123.29,76.66,72.86,5.78,0.12,287.81,71.35,21.35,67.65,389.22,331.0,Hazardous,Rangpur
2024-01-01,20:00,37.6,14.35,296.18,303.41,28.1,0.13,113.79,327.0,21.83,82.76,158.06,285.0,Very Unhealthy,Dhaka
2024-01-01,20:00,173.84,79.15,375.24,100.55,5.89,0.05,49.22,21.32,13.92,61.39,907.86,153.0,Unhealthy,Chattogram
2024-01-01,20:00,127.31,109.41,95.22,382.04,1.13,0.01,116.73,53.19,28.91,76.06,556.49,183.0,Unhealthy,Khulna
2024-01-01,20:00,241.53,64.02,25.29,20.92,13.92,0.04,256.35,287.21,31.7,74.97,410.64,306.0,Hazardous,Rajshahi
2024-01-01,20:00,225.21,33.8,212.83,333.29,27.64,0.1,195.73,32.31,27.59,62.1,131.98,282.0,Very Unhealthy,Barisal
2024-01-01,20:00,281.03,131.03,339.78,276.4,23.1,0.01,234.27,253.97,14.29,87.09,605.34,284.0,Very Unhealthy,Sylhet
2024-01-01,20:00,57.69,62.49,389.16,133.45,3.97,0.03,126.48,121.38,11.37,55.65,790.9,188.0,Unhealthy,Mymensingh
2024-01-01,20:00,156.83,50.53,111.25,278.24,19.45,0.11,279.74,172.05,30.38,90.43,422.86,324.0,Hazardous,Rangpur
2024-01-01,21:00,211.16,182.76,42.25,166.5,17.51,0.03,133.87,288.22,20.87,79.92,407.28,214.0,Very Unhealthy,Dhaka
2024-01-01,21:00,203.31,75.35,227.7,133.91,18.61,0.02,231.11,71.5,33.32,69.69,231.95,281.0,Very Unhealthy,Chattogram
2024-01-01,21:00,289.32,127.89,54.29,382.52,8.4,0.01,192.65,180.58,33.42,50.04,157.32,243.0,Very Unhealthy,Khulna
2024-01-01,21:00,274.76,51.22,149.07,219.55,4.79,0.13,206.99,164.12,18.92,65.04,219.42,257.0,Very Unhealthy,Rajshahi
2024-01-01,21:00,80.06,170.78,293.31,268.77,4.05,0.11,138.52,125.89,16.99,83.32,522.79,205.0,Very Unhealthy,Barisal
2024-01-01,21:00,176.98,155.43,241.5,148.28,3.5,0.14,54.87,290.15,28.85,76.98,429.52,237.0,Very Unhealthy,Sylhet
2024-01-01,21:00,164.06,132.34,248.55,292.58,17.83,0.11,226.94,271.12,34.29,92.11,770.41,277.0,Very Unhealthy,Mymensingh
2024-01-01,21:00,74.36,144.32,225.57,295.49,12.31,0.1,139.09,396.23,25.05,52.06,153.88,260.0,Very Unhealthy,Rangpur
2024-01-01,22:00,264.81,97.6,183.95,65.32,5.77,0.04,157.46,72.24,25.41,92.67,484.64,208.0,Very Unhealthy,Dhaka
2024-01-01,22:00,83.04,147.57,18.45,112.06,10.01,0.05,280.12,282.07,19.66,61.36,74.32,325.0,Hazardous,Chattogram
2024-01-01,22:00,238.39,2.46,286.91,27.5,10.93,0.07,239.63,253.11,22.49,81.13,143.65,289.0,Very Unhealthy,Khulna
2024-01-01,22:00,146.43,186.9,194.18,167.39,11.35,0.1,183.07,110.22,22.3,54.11,867.67,233.0,Very Unhealthy,Rajshahi
2024-01-01,22:00,109.4,77.01,348.14,391.1,8.75,0.15,137.27,269.56,32.96,85.61,392.42,247.0,Very Unhealthy,Barisal
2024-01-01,22:00,209.53,198.86,96.98,129.34,21.17,0.02,142.78,26.34,15.23,72.12,478.7,239.0,Very Unhealthy,Sylhet
2024-01-01,22:00,160.75,66.42,121.27,193.84,15.85,0.03,115.64,20.02,27.47,71.0,512.99,203.0,Very Unhealthy,Mymensingh
2024-01-01,22:00,190.78,164.7,246.71,321.72,15.42,0.05,116.71,120.91,33.63,57.93,297.34,183.0,Unhealthy,Rangpur
2024-01-01,23:00,132.95,97.66,33.92,32.82,25.71,0.03,134.66,324.81,25.61,83.99,128.22,269.0,Very Unhealthy,Dhaka
2024-01-01,23:00,162.55,56.34,202.51,231.8,11.26,0.09,39.19,98.31,30.2,81.34,186.13,161.0,Unhealthy,Chattogram
2024-01-01,23:00,217.02,155.82,311.99,246.27,5.12,0.04,150.44,99.46,23.51,75.72,730.59,164.0,Unhealthy,Khulna
2024-01-01,23:00,40.57,46.71,361.98,122.34,29.14,0.11,243.38,86.36,28.42,82.25,499.32,293.0,Very Unhealthy,Rajshahi
2024-01-01,23:00,148.7,2.86,91.27,143.7,24.06,0.1,16.52,100.42,19.03,77.39,867.04,258.0,Very Unhealthy,Barisal
